"id","extralabel","name","latitude","longitude","Netherlands"
"NLNM","Station","Nijmegen","51.8434","5.8526","Netherlands"
"NLNS","SmallStation","Nunspeet","52.3709","5.7847","Netherlands"
"NLNSCH","SmallStation","Nieuweschans","53.1841","7.1985","Netherlands"
"NLNVD","SmallStation","Nijverdal","52.3659","6.4706","Netherlands"
"NLNWKI","Switch","Nieuwerkerk IVO","51.9749","4.6275","Netherlands"
"NLOBD","SmallStation","Obdam","52.6779","4.9091","Netherlands"
"NLODB","Station","Oudenbosch","51.5878","4.5335","Netherlands"
"NLODW","ShuntingYard","Oudewater wachtspoor","52.0299","4.8165","Netherlands"
"NLODZ","SmallStation","Oldenzaal","52.3063","6.9342","Netherlands"
"NLOHZE","Switch","Oud Heeze","51.3742","5.5768","Netherlands"
"NLOMN","SmallStation","Ommen","52.5097","6.4173","Netherlands"
"NLONN","ShuntingYard","Onnen Noord","53.1672","6.6232","Netherlands"
"NLONZ","ShuntingYard","Onnen Zuid","53.1412","6.6326","Netherlands"
"NLOSS","Station","Oss","51.7659","5.5405","Netherlands"
"NLOST","Station","Olst","52.3356","6.1135","Netherlands"
"NLOTW","SmallStation","Oosterhout West stad","51.6674","4.8379","Netherlands"
"NLOZBM","FreightTerminal","Oud Zaltbommel","51.8012","5.2647","Netherlands"
"NLPMO","SmallStation","Purmerend Overwhere","52.5117","4.9689","Netherlands"
"NLPS","Junction","Pernis","51.8777","4.3761","Netherlands"
"NLPT","SmallStation","Putten","52.2653","5.5756","Netherlands"
"NLRAI","SmallStation","Amsterdam RAI","52.3368","4.8907","Netherlands"
"NLRAT","SmallStation","Raalte","52.3911","6.2787","Netherlands"
"NLRB","SmallStation","Rilland-Bath","51.4226","4.1609","Netherlands"
"NLRD","SmallStation","Roodeschool","53.4205","6.7578","Netherlands"
"NLRHN","SmallStation","Rhenen","51.9587","5.5784","Netherlands"
"NLRL","SmallStation","Ruurlo","52.0806","6.4503","Netherlands"
"NLRM","Station","Roermond","51.1924","5.9943","Netherlands"
"NLRSD","Station","Roosendaal","51.5406","4.459","Netherlands"
"id","extralabel","name","latitude","longitude","country"
"NLRTNG","FreightTerminal","Rotterdam Noord goed.","51.9476","4.521","Netherlands"
"NLRV","SmallStation","Reuver","51.283","6.0794","Netherlands"
"NLRVS","Switch","Ravenstein","51.8056","5.6711","Netherlands"
"NLSDA","SmallStation","Scheemda","53.1655","6.9779","Netherlands"
